Time(Instant);ElapsedTime(s);Reference Position (m);Position BASELINE (m);Position Error BASELINE (m);Reference Speed (m/s);Speed BASELINE (m/s);Speed Error BASELINE (m/s)
19:48:48;1783367328.399;825.362000;825.370470;-0.008470;29.289000;29.273482;0.015518
19:48:48;1783367328.799;837.094000;837.094350;-0.000350;29.373000;29.358199;0.014801
19:48:48;1783367328.799;837.094000;837.094350;-0.000350;29.373000;29.358199;0.014801
19:48:49;1783367329.399;854.755000;854.970314;-0.215314;29.498000;29.483094;0.014906
19:48:49;1783367329.399;854.755000;854.970314;-0.215314;29.498000;29.483094;0.014906
19:48:49;1783367329.799;866.572000;866.777951;-0.205951;29.582000;29.567247;0.014753
19:48:49;1783367329.799;866.572000;866.777951;-0.205951;29.582000;29.567247;0.014753
19:48:50;1783367330.399;884.358000;884.405863;-0.047863;29.706000;29.690716;0.015284
19:48:50;1783367330.399;884.358000;884.405863;-0.047863;29.706000;29.690716;0.015284
19:48:50;1783367330.799;896.257000;896.296374;-0.039374;29.788000;29.773787;0.014213
19:48:50;1783367330.799;896.257000;896.296374;-0.039374;29.788000;29.773787;0.014213
19:48:51;1783367331.399;914.166000;914.200125;-0.034125;29.910000;29.894889;0.015111
19:48:51;1783367331.399;914.166000;914.200125;-0.034125;29.910000;29.894889;0.015111
19:48:51;1783367331.799;926.146000;926.171946;-0.025946;29.990000;29.975846;0.014154
19:48:51;1783367331.799;926.146000;926.171946;-0.025946;29.990000;29.975846;0.014154
19:48:52;1783367332.399;944.176000;944.278337;-0.102337;30.108000;30.093782;0.014218
19:48:52;1783367332.399;944.176000;944.278337;-0.102337;30.108000;30.093782;0.014218
19:48:52;1783367332.799;956.235000;956.329344;-0.094344;30.186000;30.172592;0.013408
19:48:52;1783367332.799;956.235000;956.329344;-0.094344;30.186000;30.172592;0.013408
19:48:53;1783367333.399;974.381000;974.458730;-0.077730;30.301000;30.287081;0.013919
19:48:53;1783367333.399;974.381000;974.458730;-0.077730;30.301000;30.287081;0.013919
19:48:53;1783367333.799;986.517000;986.586638;-0.069638;30.377000;30.363450;0.013550
19:48:53;1783367333.799;986.517000;986.586638;-0.069638;30.377000;30.363450;0.013550
19:48:54;1783367334.399;1004.776000;1004.841279;-0.065279;30.488000;30.474406;0.013594
19:48:54;1783367334.399;1004.776000;1004.841279;-0.065279;30.488000;30.474406;0.013594
19:48:54;1783367334.799;1016.986000;1017.043708;-0.057708;30.561000;30.548398;0.012602
19:48:54;1783367334.799;1016.986000;1017.043708;-0.057708;30.561000;30.548398;0.012602
